id,name,producer,type_id,grape_variety,region_id,created_at,update_at,image
,リースリング 2022,グロウ・グロウ,3,25,9,,,https://img07.shop-pro.jp/PA01398/155/product/179922494_th.jpg?cmsp_timestamp=20240310231514
,ヴァイス 2022,グロウ・グロウ,3,25,20,,,https://img07.shop-pro.jp/PA01398/155/product/177541325_th.jpg?cmsp_timestamp=20231010180807
,ヘレン・ビアンコ 2022,カルカリウス Ca,3,25,5,,,https://img07.shop-pro.jp/PA01398/155/product/177518149_th.jpg?cmsp_timestamp=20231010085507
,ヌ・リトロ・ビアンコ・プーリア 2022 (1000ml),カルカリウス Ca,3,25,5,,,https://img07.shop-pro.jp/PA01398/155/product/177518122_th.jpg?cmsp_timestamp=20231010083834
,ガイア 2021,カンティーナ・ジャルディーノ,3,25,5,,,https://img07.shop-pro.jp/PA01398/155/product/177504370_th.jpg?cmsp_timestamp=20231008163718
,タララ 2021,カンティーナ・ジャルディーノ,3,25,5,,,https://img07.shop-pro.jp/PA01398/155/product/177504335_th.jpg?cmsp_timestamp=20231008163434
,パスキ 2021,カンティーナ・ジャルディーノ,3,25,5,,,https://img07.shop-pro.jp/PA01398/155/product/177504313_th.jpg?cmsp_timestamp=20231008163049
,フラ 2021,カンティーナ・ジャルディーノ,3,25,5,,,https://img07.shop-pro.jp/PA01398/155/product/177504149_th.jpg?cmsp_timestamp=20231008162810
,グル・グル 2022,カンティーナ・ジャルディーノ,3,25,5,,,https://img07.shop-pro.jp/PA01398/155/product/177504070_th.jpg?cmsp_timestamp=20231008161913
,ヴィーノ・ビアンコ・アンフォラ 2022 (1500ml),ンティーナ・ジャルディーノ,3,25,5,,,https://img07.shop-pro.jp/PA01398/155/product/177503730_th.jpg?cmsp_timestamp=20231008165458
,ヴィーノ・ビアンコ 2022 (1500ml),ンティーナ・ジャルディーノ,3,25,5,,,https://img07.shop-pro.jp/PA01398/155/product/177503695_th.jpg?cmsp_timestamp=20231008165334
,ジラモンド 2022,ラーチノ,3,25,5,,,https://img07.shop-pro.jp/PA01398/155/product/177474994_th.jpg?cmsp_timestamp=20231006115212
,ジョイア 2022,カルカリウス Ca (ヴァレンティーナ・パッサラクア),3,25,5,,,https://img07.shop-pro.jp/PA01398/155/product/177399413_th.jpg?cmsp_timestamp=20231001114956
,フレーダーマウス・ヴァイス 2020,ツヴァイ・ナトゥーキンダー,3,25,20,,,https://img07.shop-pro.jp/PA01398/155/product/177385796_th.jpg?cmsp_timestamp=20230929214635
,ドライ・フロインド(3人は友達) 2021,ツヴァイ・ナトゥーキンダー,3,25,20,,,https://img07.shop-pro.jp/PA01398/155/product/177385250_th.jpg?cmsp_timestamp=20230929205336
,ファーター&ゾン(父と息子) 2021,ツヴァイ・ナトゥーキンダー,3,25,20,,,https://img07.shop-pro.jp/PA01398/155/product/177385231_th.jpg?cmsp_timestamp=20230929204747
,カンポ・ディ・ポンテ 2020,イル・マイオーロ,3,25,5,,,https://img07.shop-pro.jp/PA01398/155/product/177372069_th.jpg?cmsp_timestamp=20230929111455
,マルト・キュヴェ・アランナ 2021,ヴァイングート・ヴェルナー,3,25,20,,,https://img07.shop-pro.jp/PA01398/155/product/177293173_th.jpg?cmsp_timestamp=20230923212250
,ブラン 2022,ル・クロ・デュ・テュ=ブッフ,3,25,25,,,https://img07.shop-pro.jp/PA01398/155/product/178785244_th.jpg?cmsp_timestamp=20231228153912
,ヴィーニャ・サンタ・マリア 2021,ペッラグローゾ,3,25,5,,,https://img07.shop-pro.jp/PA01398/155/product/177214889_th.jpg?cmsp_timestamp=20230920120929
,ベルジンジン 2021,ペッラグローゾ,3,25,5,,,https://img07.shop-pro.jp/PA01398/155/product/177214856_th.jpg?cmsp_timestamp=20230920120744
,ルーガル 2021,ペッラグローゾ,3,25,5,,,https://img07.shop-pro.jp/PA01398/155/product/177214812_th.jpg?cmsp_timestamp=20230920120642
,メタモルフォジ 2021,ペッラグローゾ,3,25,5,,,https://img07.shop-pro.jp/PA01398/155/product/177211647_th.jpg?cmsp_timestamp=20230920115926
,フリウラーノ・ネカイ 2018,ダミアン,3,25,5,,,https://img07.shop-pro.jp/PA01398/155/product/177146624_th.jpg?cmsp_timestamp=20230916170752
,マルヴァジーア 2018,ダミアン,3,25,5,,,https://img07.shop-pro.jp/PA01398/155/product/177146542_th.jpg?cmsp_timestamp=20230916170046
,リボッラ・ジャッラ・マグナム 2018 (1500ml),ダミアン,3,25,5,,,https://img07.shop-pro.jp/PA01398/155/product/177146416_th.jpg?cmsp_timestamp=20230916165118
,スクリーミング・ベティ 2023,デリンクエンテ,3,25,9,,,https://img07.shop-pro.jp/PA01398/155/product/177138533_th.jpg?cmsp_timestamp=20230916140536
,ビアンコ 2021 (1500ml),イル・ヴェイ,3,25,5,,,https://img07.shop-pro.jp/PA01398/155/product/177121293_th.jpg?cmsp_timestamp=20230915160807
,オルトゥルーゴ 2021,イル・ヴェイ,3,25,5,,,https://img07.shop-pro.jp/PA01398/155/product/177121238_th.jpg?cmsp_timestamp=20230915160040
